INFO  | 2019-01-27 15:57:33 | Order Window 3 | Order 12     | 2 x Hamburger was brought!
INFO  | 2019-01-27 15:57:33 | Order Window 4 | Order 15     | Total price: 11.4
INFO  | 2019-01-27 15:57:33 |                | Order 12     | Status: ready
INFO  | 2019-01-27 15:57:33 |                | Order 15     | Status: packaging
INFO  | 2019-01-27 15:57:33 | Order Window 3 | Order 12     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:33 | Order Window 3 | Order 16     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:33 |                | Pre-order 13 | 2 x McFlurry was packaged!
INFO  | 2019-01-27 15:57:34 | Order Window 1 | Order 11     | 1 x French Fries was brought!
INFO  | 2019-01-27 15:57:34 | Order Window 2 | Order 14     | 1 x French Fries was brought!
INFO  | 2019-01-27 15:57:35 | Order Window 3 | Order 16     | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:57:35 | Order Window 4 | Order 15     | 1 x Hamburger was brought!
INFO  | 2019-01-27 15:57:37 | Order Window 2 | Order 14     | 2 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:37 |                | Order 14     | Status: ready
INFO  | 2019-01-27 15:57:37 | Order Window 2 | Order 14     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:37 | Order Window 3 | Order 16     | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:57:37 | Order Window 2 | Order 17     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:37 |                | Pre-order 13 | 2 x French Fries was packaged!
INFO  | 2019-01-27 15:57:37 |                | Pre-order 13 | Status: ready
INFO  | 2019-01-27 15:57:37 | Order Window 4 | Pre-order 13 | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:37 |                | Pre-order 18 | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:57:37 |                | Pre-order 18 | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:37 |                | Pre-order 18 | 2 x French Fries 6.0
INFO  | 2019-01-27 15:57:37 |                | Pre-order 18 | 1 x McFlurry 3.0
INFO  | 2019-01-27 15:57:37 |                | Pre-order 18 | Total price: 19.2
INFO  | 2019-01-27 15:57:37 |                | Pre-order 18 | Status: packaging
INFO  | 2019-01-27 15:57:38 | Order Window 4 | Order 15     | 3 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:39 | Order Window 1 | Order 11     | 1 x McFlurry was brought!
INFO  | 2019-01-27 15:57:39 |                | Order 11     | Status: ready
INFO  | 2019-01-27 15:57:39 | Order Window 1 | Order 11     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:39 | Order Window 1 | Order 19     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:39 | Order Window 3 | Order 16     | 1 x McChicken 4.3
INFO  | 2019-01-27 15:57:39 | Order Window 2 | Order 17     | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:57:41 | Order Window 1 | Order 19     | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:41 | Order Window 2 | Order 17     | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:41 | Order Window 2 | Order 17     | Total price: 10.2
INFO  | 2019-01-27 15:57:41 |                | Order 17     | Status: packaging
INFO  | 2019-01-27 15:57:41 | Order Window 3 | Order 16     | 1 x French Fries 3.0
INFO  | 2019-01-27 15:57:41 |                | Pre-order 18 | 2 x French Fries was packaged!
INFO  | 2019-01-27 15:57:42 | Order Window 4 | Order 15     | 1 x French Fries was brought!
INFO  | 2019-01-27 15:57:42 |                | Order 15     | Status: ready
INFO  | 2019-01-27 15:57:42 | Order Window 4 | Order 15     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:42 | Order Window 4 | Order 20     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:43 | Order Window 1 | Order 19     | 2 x McChicken 8.6
INFO  | 2019-01-27 15:57:43 | Order Window 3 | Order 16     | 1 x McFlurry 3.0
INFO  | 2019-01-27 15:57:43 | Order Window 3 | Order 16     | Total price: 18.3
